Date,Close,High,Low,Open,Volume
2025-02-10,36.650001525878906,44.0,34.9900016784668,35.060001373291016,611800
2025-02-17,50.369998931884766,50.689998626708984,39.0,40.529998779296875,2363500
2025-02-24,46.849998474121094,55.0099983215332,41.58000183105469,52.0,67826300
2025-03-03,51.0,51.130001068115234,45.09700012207031,48.4900016784668,27942300
2025-03-10,54.81999969482422,54.939998626708984,47.86000061035156,50.4900016784668,18949700
2025-03-17,53.959999084472656,58.36000061035156,51.915000915527344,54.79999923706055,17112800
2025-03-24,48.970001220703125,55.685001373291016,48.45500183105469,54.61000061035156,13489600
2025-03-31,30.110000610351562,49.36000061035156,28.360000610351562,47.40999984741211,24754900
2025-04-07,31.969999313354492,39.650001525878906,27.885000228881836,29.219999313354492,26829200
2025-04-14,31.290000915527344,36.16999816894531,30.389999389648438,33.75,10417300
2025-04-21,32.849998474121094,33.369998931884766,28.940000534057617,31.06999969482422,12125900
2025-04-28,34.400001525878906,35.40999984741211,31.010000228881836,32.630001068115234,9232900
2025-05-05,37.7400016784668,38.790000915527344,33.130001068115234,33.83000183105469,14349600
2025-05-12,40.439998626708984,43.79999923706055,39.75,41.13999938964844,13452800
2025-05-19,37.279998779296875,41.111000061035156,35.790000915527344,39.33000183105469,8335800
2025-05-26,37.689998626708984,39.224998474121094,36.68000030517578,37.94499969482422,9468300
2025-06-02,39.150001525878906,40.45000076293945,36.207000732421875,37.540000915527344,21187000
2025-06-09,42.5,43.22999954223633,39.439998626708984,40.27000045776367,23746300
2025-06-16,46.58000183105469,48.209999084472656,42.560001373291016,43.369998931884766,13930800
2025-06-23,47.150001525878906,49.81999969482422,45.80400085449219,46.36000061035156,12963700
2025-06-30,46.40999984741211,47.34000015258789,44.16999816894531,47.22999954223633,10879000
2025-07-07,46.09000015258789,47.75,45.09000015258789,47.13999938964844,9344700
2025-07-14,42.189998626708984,44.849998474121094,40.29999923706055,44.630001068115234,14192200
2025-07-21,42.47999954223633,43.650001525878906,40.54999923706055,41.72800064086914,8458000
2025-07-28,41.33000183105469,44.619998931884766,40.099998474121094,43.08000183105469,6899700
2025-08-04,44.34000015258789,44.849998474121094,40.529998779296875,42.11000061035156,10240400
2025-08-11,44.540000915527344,48.459999084472656,42.81999969482422,45.70000076293945,19716500
2025-08-18,46.369998931884766,47.189998626708984,43.20199966430664,44.25,10452000
2025-08-25,52.470001220703125,52.939998626708984,46.0099983215332,46.36000061035156,13188400
2025-09-01,68.55000305175781,68.66999816894531,50.06999969482422,51.0099983215332,22952100
2025-09-08,86.12999725341797,86.95999908447266,67.86000061035156,68.6500015258789,29095500
2025-09-15,102.20999908447266,102.98999786376953,85.12000274658203,85.30000305175781,38206200
2025-09-22,97.12000274658203,110.20999908447266,93.53500366210938,105.76000213623047,44923800
2025-09-29,128.41000366210938,137.0500030517578,103.3479995727539,104.25,55734700
2025-10-06,116.91000366210938,134.7899932861328,115.68000030517578,133.60000610351562,35153600
2025-10-13,140.16000366210938,150.82000732421875,120.95999908447266,129.74000549316406,38916400
2025-10-20,186.16000366210938,187.36000061035156,142.75999450683594,145.97999572753906,37985300
2025-10-27,199.3300018310547,209.77000427246094,164.55999755859375,191.5,44003500
2025-11-03,239.47999572753906,240.0,185.0,210.85000610351562,61717900
2025-11-10,254.16000366210938,284.760009765625,234.1300048828125,247.0,83926900
2025-11-17,200.27000427246094,282.79998779296875,183.0,253.39999389648438,89303100
2025-11-24,223.27999877929688,237.77000427246094,205.1300048828125,206.0500030517578,84847900
2025-12-01,228.47000122070312,229.4499969482422,187.6999969482422,211.83999633789062,51862700
2025-12-08,206.17999267578125,244.19000244140625,204.8000030517578,235.66000366210938,40805100
2025-12-15,237.61000061035156,243.7100067138672,199.5,214.44500732421875,41984800
2025-12-22,250.0500030517578,261.5,226.60000610351562,249.64500427246094,25165400
2025-12-29,275.239990234375,275.79998779296875,235.24000549316406,241.55499267578125,27607900
2026-01-05,377.4100036621094,384.0,266.3299865722656,284.2200012207031,89706000
2026-01-12,413.6199951171875,432.0199890136719,373.9700012207031,373.9700012207031,66134600
