Date,Open,High,Low,Close,Volume
2018-06-01,162.08838069681786,163.90917052527075,162.04096135574514,163.81434631347656,45543300
2018-06-04,164.23162379329236,165.33168900342926,164.1273214856095,165.29376220703125,20459600
2018-06-05,165.6825589842071,166.08085541100255,165.07562902856384,165.8058319091797,24779300
2018-06-06,165.97655465259714,166.80159629692582,165.14202045672715,166.7731475830078,25036600
2018-06-07,166.80160481679465,166.83953161383826,164.58251819572465,165.4170379638672,39600300
2018-06-08,164.63944442115294,165.84382664046842,164.23165531225686,165.4265594482422,31780300
2018-06-11,165.30326535204063,166.28004329886582,165.27481663284033,165.8722686767578,22319700
2018-06-12,166.09983389607814,166.90591940863624,165.91966352454074,166.7447052001953,22511800
2018-06-13,167.00074519976374,167.98700100764165,166.36535202629776,166.73521423339844,37858600
2018-06-14,167.50333758638524,168.69822678641418,167.3800501993523,168.4232177734375,35916000
2018-06-15,167.7878315136748,168.16717176986268,167.01020931160426,167.8352508544922,49615700
2018-06-18,166.77848503703288,167.88089031659635,166.2557847528763,167.73834228515625,31633200
2018-06-19,165.61900615290506,167.30113052404803,165.08680762861198,167.26312255859375,38236000
2018-06-20,168.03296583493164,169.14488408086777,167.88090492061724,168.4511260986328,33038000
2018-06-21,168.8787843964263,169.04985655002235,166.66444627809435,166.98757934570312,43469400
2018-06-22,167.5482910995439,167.61480868746378,166.01821256145996,166.616943359375,30073200
2018-06-25,165.10582332805683,165.35292588652447,161.3804187287082,162.86297607421875,77799700
2018-06-26,163.46175770033645,164.46913597990505,162.86302685438105,163.52828979492188,39008100
2018-06-27,164.2220216399969,164.963300425591,161.19037441365197,161.30441284179688,52843500
2018-06-28,161.10479737548926,163.24310427118897,160.7721660578517,162.69189453125,46407700
2018-06-29,163.4712497000705,164.33607988800907,162.89153011820625,163.12911987304688,36408500
2018-07-02,161.59897057767614,164.2694904349371,161.24734253476242,164.2219696044922,31770000
2018-07-03,164.83978061700833,164.83978061700833,162.15977553435707,162.3213348388672,25512700
2018-07-05,163.37624780890206,164.46915504994917,162.53992710187674,164.3361053466797,31626200
2018-07-06,164.71621677858695,167.01608365001005,164.41209496022037,166.8925323486328,37005600
2018-07-09,167.7573500489949,168.43209671893888,167.09210174717504,168.3940887451172,27362100
2018-07-10,168.70767747892754,168.89774631527698,167.93788926585262,168.51760864257812,23902500
2018-07-11,167.19665711186786,168.28008032685415,167.0731202989266,167.66233825683594,30280600
2018-07-12,168.40360162928044,170.55142211914062,168.2895631966601,170.55142211914062,27930100
2018-07-13,170.54190881590372,170.96956743847082,170.06672934608991,170.6939697265625,28049800
2018-07-16,170.73196340342054,171.01707396169388,170.0001975221536,170.28529357910156,21405300
2018-07-17,168.47964928014878,171.6823546012742,168.47964928014878,171.32122802734375,31034100
2018-07-18,171.34020719158946,171.48276973361803,170.47539157578655,170.99807739257812,23220800
2018-07-19,170.38036624746783,170.9505874677031,169.94320921310506,170.1427764892578,31094100
2018-07-20,170.6559308948199,171.22613745470667,169.91463771471638,170.10472106933594,35897300
2018-07-23,169.60106769413144,170.72248431496922,168.9168080775322,170.64645385742188,22184700
2018-07-24,172.40461516783964,173.012844296623,170.64644536520387,171.34971618652344,36900300
2018-07-25,171.4257206550238,173.84912393276056,171.34017734417762,173.74459838867188,35026600
2018-07-26,171.38770399704794,171.93891384598405,170.88401498878858,171.1121063232422,40873500
2018-07-27,172.19556912814468,172.30960758069884,167.8334243019986,168.8027801513672,59456100
2018-07-30,168.8122670427981,168.907294238192,165.61906035075958,166.4173583984375,60193000
2018-07-31,167.07309892634723,168.33707801414397,166.14175125688033,167.69082641601562,47285100
2018-08-01,168.08048757252087,168.83126477626385,167.3582199776968,168.32757568359375,37101900
2018-08-02,167.13961806470147,170.81751693378456,167.0635876111949,170.61793518066406,47178200
2018-08-03,170.9410280181127,171.15010810847312,170.19025096732682,171.14060974121094,28934400
2018-08-06,171.02656339579667,172.1955005730829,170.81748331513433,172.14797973632812,24808800
2018-08-07,172.6326755119441,173.09835655869747,172.26203614863422,172.77523803710938,29895700
2018-08-08,172.53759850765775,173.29788825168896,172.07191759537494,172.98426818847656,22680700
2018-08-09,172.8797607421875,173.5640201906148,172.62315982369643,172.8797607421875,18852900
2018-08-10,171.71085378905363,172.224055759724,170.91255572504107,171.55880737304688,33818500
2018-08-13,171.8723871015071,172.97479223924654,171.2926676793552,171.3686981201172,26089200
2018-08-14,172.0244514770634,172.64219343487977,171.1026022257104,172.44261169433594,20913000
2018-08-15,171.07410350250498,171.6158150460653,169.27792572865306,170.33282470703125,58528000
2018-08-16,171.64431655746912,172.00545756947528,170.56090802277626,170.89353942871094,27711800
2018-08-17,170.44691690955975,171.3592535597361,169.42052730211415,170.9315948486328,36092600
2018-08-20,171.31167860857735,171.37821068775344,170.11423169533302,170.77947998046875,24939000
2018-08-21,171.29268460071444,172.43311232215535,171.18814454700504,171.40672302246094,26258700
2018-08-22,171.0455712143565,172.27154217599377,170.82699275270716,172.07196044921875,18042400
