Date,Open,High,Low,Close,Volume
2000-01-03,23.190463056677416,23.190463056677416,21.925939267803088,22.85175132751465,14356400
2000-01-04,21.993679006977043,22.625940826479464,21.677548097225834,21.72270965576172,22822400
2000-01-05,21.327551733597822,21.711425084017264,20.525933854780753,20.909807205200195,27791200
2000-01-06,20.638831668658398,21.474320478002337,20.27753921056372,20.94367218017578,22438000
2000-01-07,20.367859290411996,21.146896037107354,20.051728436680545,21.12431526184082,37732400
2000-01-10,21.51948669048728,22.975947227251638,21.40658277290865,22.829172134399414,30214400
2000-01-11,22.354983701276705,23.427571303105637,21.711431140179346,21.8243350982666,27264000
2000-01-12,22.038849132141923,22.987242230041474,21.29368312664942,22.953371047973633,30550400
2000-01-13,22.332401539905963,23.032406037112317,21.609816252467144,22.490467071533203,44196400
2000-01-14,23.45014057159424,25.109827939925655,23.393688620290447,24.500146865844727,61415200
2000-01-18,24.18401278090852,24.884016885678047,23.86788189488357,24.409820556640625,27733600
2000-01-19,24.477578897451075,25.877588022582042,24.251770974042856,25.71952247619629,29092400
2000-01-20,25.99047420706068,26.261443529810222,25.042081577437266,25.290470123291016,28180000
2000-01-21,25.584027292032157,25.78725434024777,24.89531340641258,25.516284942626953,30846000
2000-01-24,25.34691954846908,26.487248668467025,25.33562916114237,25.38079071044922,25352800
2000-01-25,25.550157504079664,26.250161819259926,24.432408678227304,26.09209632873535,32854800
2000-01-26,26.024351062304255,26.09209340780266,24.217888515680098,24.263050079345703,27227600
2000-01-27,24.782408229539314,25.346927779187133,24.093694378968973,24.477567672729492,26986000
2000-01-28,24.31950283050537,24.996926307678223,23.224334875742596,23.438852310180664,31494800
2000-01-31,23.24691923502799,24.850155044340262,23.167886483864706,24.793703079223633,30351200
2000-02-01,24.161428879164294,25.53885613302319,24.071105780550596,25.38079071044922,22794800
2000-02-02,25.30176362158267,26.577577673005624,25.22273089273346,25.97918701171875,27897200
2000-02-03,26.182411807956115,27.09693330706972,26.182411807956115,26.825963973999023,23597200
2000-02-04,27.029188559573985,27.25499631696391,26.17111908149227,26.261442184448242,18998000
2000-02-07,26.28404145205865,27.853406470029505,26.013071952552888,27.751792907714844,21438000
2000-02-08,27.95500668746913,29.174368853158413,27.548552632239367,29.106626510620117,37100400
2000-02-09,28.75663807997552,30.450197448643102,28.745347684184402,29.578014373779297,37757200
2000-02-10,29.580821595307928,31.56793022155762,29.129205998432997,31.567930221557617,27658800
2000-02-11,31.22923029119318,31.488909357244317,29.535671164772726,29.806640625,33136400
2000-02-14,30.280814045383153,30.642106382986533,28.85822546606985,29.09532356262207,30705200
2000-02-15,29.60339281150887,30.57436603110832,28.869517703672074,30.07758903503418,41104800
2000-02-16,31.613113249302256,32.109890743219864,30.98085098431621,31.319562911987305,50966000
2000-02-17,31.443732976122416,34.130845524889786,30.687276922477817,34.029232025146484,47536400
2000-02-18,34.017963090191074,34.277642197749785,31.97440141766383,32.109886169433594,35272800
2000-02-22,31.861474370952255,33.23890168252425,31.330826144363044,32.29897689819336,30175600
2000-02-23,32.24536378344119,33.28407998374812,32.08729827469884,32.69697952270508,23998000
2000-02-24,32.56148597135206,33.735686575034656,32.29051660127146,33.14858627319336,27143200
2000-02-25,33.182452365458765,33.48729286013974,30.89050346100551,31.127601623535156,26224800
2000-02-28,31.387296831649945,32.38085155150073,30.19051501001149,31.95181655883789,34048000
2000-02-29,32.51631454921315,33.32922241294347,32.448572227235616,33.04696273803711,27234400
2000-03-01,33.14858344510026,33.50987590771716,32.77600059302659,33.351810455322266,19686000
2000-03-02,33.103405589491096,33.75824785558608,32.56146716237801,32.60945129394531,17372800
2000-03-03,33.30665122165905,34.50343258758985,33.21632809970201,34.45827102661133,23431200
2000-03-06,34.5373095870018,34.932473312253535,32.79858919589416,33.238914489746094,21448400
2000-03-07,33.64536313887607,34.62762709628621,33.14858596501347,33.26148986816406,24902800
2000-03-08,33.50425224769406,33.55505903290539,31.263108500038705,32.403438568115234,32934800
2000-03-09,32.24534364897629,34.41309784386545,31.44372621232457,34.37922668457031,22627200
2000-03-10,33.98124015149888,35.576007215673386,33.76954540846687,34.87600326538086,24828800
2000-03-13,33.5070551316287,34.50343205534742,33.32923148801884,33.95020294189453,27823600
2000-03-14,34.59376775568182,34.72925248579545,32.239720569957385,32.29052734375,34925200
2000-03-15,32.31311132090507,32.651823179614766,30.438905702711416,30.924392700195312,50149200
2000-03-16,31.61310414176675,32.78730515274666,29.44534842918846,31.771169662475586,31674000
2000-03-17,32.56149093516007,34.887311716242934,32.493748582312996,34.633277893066406,25240600
2000-03-20,34.39053314543785,35.22602213189957,33.64536729264766,33.96149826049805,22011400
2000-03-21,34.11957226967325,35.72280829293387,33.23892149633291,35.40667724609375,19909400
2000-03-22,35.3840886687322,37.980878839060345,35.04537690738505,37.845394134521484,18566000
2000-03-23,37.664745654326666,39.471208275637295,36.85183747473688,37.00990295410156,19089600
2000-03-24,38.093776120296894,39.74217307156049,37.39377193551373,38.590553283691406,21554800
2000-03-27,38.997023828975344,39.74218988940163,38.11637303028974,39.22283172607422,14457400
2000-03-28,38.974433071979774,39.10991777559037,36.490546839118956,36.874420166015625,18758600
2000-03-29,37.07765138649494,37.10023217296662,34.72924959344045,34.977638244628906,22673800
2000-03-30,34.187300933304655,35.40666305377919,31.5227688922677,33.60020065307617,28126400
2000-03-31,33.96148050242457,35.02277676812534,31.838887971023034,34.05180358886719,34750400
