Date,Open,High,Low,Close,Volume
2018-06-01,211.29025837812472,211.88256679807995,210.86963033102117,211.47911071777344,3565300
2018-06-04,212.6466496060469,213.46214156141664,212.49212803330244,213.05868530273438,3062500
2018-06-05,213.02426330907468,213.29894928988134,212.16584833419773,213.0156707763672,2816400
2018-06-06,213.95142931978825,215.91719454969743,213.3591206802466,215.9086151123047,4102500
2018-06-07,216.50949761357012,217.49666992179888,216.0974619569086,216.77560424804688,4286800
2018-06-08,216.28639686724628,217.5310968475886,216.12329581012332,217.41091918945312,4451000
2018-06-11,217.71125628903866,218.17480782671387,217.19621503408166,217.51382446289062,4200200
2018-06-12,217.8141975649393,217.83994896361125,216.80126118981332,217.43649291992188,6531000
2018-06-13,217.53964435384705,217.822923027521,216.34644738809456,216.47520446777344,3819000
2018-06-14,217.31643239691118,217.62546244577598,215.92579062783028,216.3120880126953,5007000
2018-06-15,215.15662508911404,215.95613794348253,213.86707807139666,215.56068420410156,6340800
2018-06-18,213.89294596052633,214.83860624759325,213.32554191751294,214.6924591064453,4075500
2018-06-19,212.00156462518015,212.54316552820094,211.0816813272067,212.24227905273438,5511100
2018-06-20,213.17075754305722,213.1879420610101,211.5889029885651,211.88121032714844,4711700
2018-06-21,211.33952091356116,211.43408820038024,209.70608715195368,210.1961212158203,4676600
2018-06-22,211.41696518057847,211.92418393526796,211.00431374608132,211.21923828125,3584900
2018-06-25,209.92106192945963,210.11019654843352,206.9293164116155,208.3134307861328,9536000
2018-06-26,208.83789514131678,209.4998664599512,208.279096531817,208.6229705810547,3829900
2018-06-27,209.1387640913017,211.1246646379106,207.19583795607744,207.2904052734375,6149300
2018-06-28,206.73160815705168,208.8722612002945,206.18140188446085,208.11572265625,5524000
2018-06-29,209.31930364721285,210.5916663648264,208.55417281200403,208.67453002929688,3966200
2018-07-02,207.11847846359882,208.94103435916304,206.86056639284186,208.67453002929688,5700300
2018-07-03,209.81793961262989,210.02427190212893,207.48816484757108,207.75466918945312,3143800
