Date,Close,High,Low,Open,Volume
2018-06-01,289.4405517578125,289.6159863021158,287.3793430837917,287.3793430837917,883800
2018-06-04,291.9139099121094,292.2296866038019,288.8264613277329,289.44920818983564,684700
2018-06-05,288.73870849609375,292.45768323782335,288.07208971501444,292.3699660138594,867900
2018-06-06,294.02777099609375,295.808321124451,291.5630692609672,291.5630692609672,1358800
2018-06-07,296.5274963378906,298.34313829356114,295.0188512507088,295.2995356314719,748600
2018-06-08,297.01873779296875,297.5187019235271,294.83472058874366,297.3169549671068,848900
2018-06-11,293.2734680175781,298.08008931541394,292.79984307538933,296.9047531796295,863500
2018-06-12,288.87908935546875,294.6329866859125,286.9845094879994,294.6329866859125,1223800
2018-06-13,287.5370178222656,290.5455281117884,286.51955706266057,288.7211332526055,928900
2018-06-14,282.9234313964844,289.44919725788355,282.0024673849529,287.71249243802157,1135400
2018-06-15,282.01123046875,284.1163370291263,279.6342459859162,282.92344152707693,1540200
2018-06-18,282.8006591796875,283.69531073172925,280.7306448639754,281.37970421932675,932700
2018-06-19,275.2750244140625,281.30960743147386,274.55578040811054,279.64308668095043,1118000
2018-06-20,273.7313232421875,276.38024011630716,273.2752309360221,275.70484126255025,999900
2018-06-21,274.932861328125,275.3187956892546,269.50349455011434,272.74006462513324,1650800
2018-06-22,273.713623046875,277.5817192125147,273.1347215696158,276.29235382396814,900800
2018-06-25,275.169677734375,276.2309838591348,271.03845618081607,271.3717655673204,1240800
2018-06-26,271.327880859375,276.41518510640583,271.0559762183956,275.56437894244345,1127100
2018-06-27,268.9158630371094,274.7486979933215,268.8193928127376,271.8454367625181,1053400
2018-06-28,269.90704345703125,271.67006110621713,265.7845736988763,269.03870426506614,879900
2018-06-29,269.8894958496094,274.4329653208768,269.66143637032246,270.55608801072225,688700
2018-07-02,270.9156188964844,272.766353069782,267.18786483000986,268.78422711327335,636700
2018-07-03,270.88934326171875,273.7487588649711,269.9595995565274,271.8278667197547,336000
2018-07-05,270.3719482421875,272.3542458687192,268.00371609071067,271.5034393161197,677800
2018-07-06,269.59124755859375,271.9857917501906,267.63528957690016,269.600027313055,689600
2018-07-09,275.15228271484375,276.59074417376223,270.25794296312876,270.5824727595137,864300
2018-07-10,276.3976135253906,276.7309228817148,274.1609717653737,275.1959653063011,801100
2018-07-11,273.4593505859375,275.92405256046726,272.82782390545924,274.6346867031384,720900
2018-07-12,282.54632568359375,282.8796351603671,275.4504367399473,276.8888978684668,1216400
2018-07-13,282.1954345703125,282.70415168471436,277.4151265149286,280.6341642134739,1417500
2018-07-16,280.96746826171875,284.5987531338751,280.74818855014047,283.1251998962796,607600
2018-07-17,281.73052978515625,282.89708584795625,280.4060720171532,281.51125011588624,762800
2018-07-18,283.93206787109375,284.5460616269985,281.13405726403465,282.581324436162,921200
2018-07-19,284.3269348144531,284.54621459265087,281.5727679518647,283.2656281828902,856300
