Date,Close,High,Low,Open,Volume
2018-06-01,198.11843872070312,200.1488211240859,197.49233351756544,199.26332070588916,1697700
2018-06-04,201.46371459960938,201.660492534516,198.05588598949439,199.06660777805345,1237600
2018-06-05,203.81607055664062,204.37957221283853,200.980696947518,201.48158124277236,1253800
2018-06-06,203.80712890625,204.4690195168558,201.7499138742183,203.56562624928836,1099700
2018-06-07,206.0326385498047,206.84927019136126,203.94170935979082,204.47118210676535,1448600
2018-06-08,204.8750762939453,206.20321573126952,203.5379541519838,206.0686120931833,1016800
2018-06-11,208.4915313720703,210.18760533554672,203.48407164820074,204.7045279288551,1458900
2018-06-12,207.90817260742188,208.77864562019332,203.01737952193199,208.16842445704802,1464500
2018-06-13,212.05418395996094,212.63748452499632,208.19538740308522,208.64408435869532,1709300
2018-06-14,216.93597412109375,217.72567132456047,212.58360887474993,212.64643301113574,2481000
2018-06-15,220.00509643554688,220.4537933949799,215.2040334923559,216.30782417848062,2479600
2018-06-18,218.99998474121094,221.49475219191865,218.09362190040216,219.61021966741907,1606200
2018-06-19,219.4038543701172,220.2832966174786,217.35779723527497,217.45651111867286,1362100
2018-06-20,218.91921997070312,220.37300727256763,217.78850868538012,218.9640924003974,1268400
2018-06-21,218.13845825195312,219.71786620555324,216.5769883129635,218.91918637487748,804300
2018-06-22,219.699951171875,221.02809012844446,216.76546968548212,218.13848106955334,1081000
2018-06-25,218.37184143066406,220.26534322090205,216.81935372467547,218.86541084388156,1204700
2018-06-26,216.5142364501953,219.32307012840576,216.01169804232936,217.97697923884564,1125700
2018-06-27,215.859130859375,218.58721608689603,214.45022950343028,216.51423829025921,1094600
2018-06-28,214.71946716308594,215.31173679891285,209.5235482119597,215.05149856274681,1602500
2018-06-29,213.60659790039062,217.20514131339417,213.39121850646927,214.92576759023697,1184700
2018-07-02,213.82205200195312,213.98357633397464,211.22858413483377,213.55283108877285,698000
2018-07-03,214.23486328125,215.4822403789408,213.23875540516988,214.3694805955636,569100
2018-07-05,215.41940307617188,216.95393893884736,213.73229820432383,215.12326145335956,703300
2018-07-06,217.30389404296875,217.88720820429342,214.9706784770965,215.59885137201817,803000
2018-07-09,223.17291259765625,223.49597498038318,215.36558765709137,215.7155707639501,1607200
2018-07-10,223.9177703857422,224.8690059014144,223.18190068152984,224.3485157018086,1262700
2018-07-11,223.97152709960938,226.18809069156435,222.06007408721587,223.46898880547474,922300
2018-07-12,224.86892700195312,226.51115920386013,224.3215162679841,225.12019615592493,1451700
2018-07-13,224.80615234375,225.174087147737,224.0882481419104,224.51001069857597,1016000
2018-07-16,222.80496215820312,224.73435361583878,222.10499599355379,224.73435361583878,1027800
2018-07-17,220.78579711914062,221.67422191711265,217.16930117437417,218.54231260287642,1387700
2018-07-18,223.11907958984375,223.8190458300405,220.62432530952282,220.84867381453833,1090800
2018-07-19,223.1279754638672,223.65743447580329,221.25242586305808,223.06516502348674,947600
2018-07-20,223.0203399658203,223.71132342247108,220.76787247176094,220.90248977512454,863900
2018-07-23,223.2985382080078,225.32664360535148,222.27550965279625,222.9036826791288,1012400
2018-07-24,220.83070373535156,224.34848635827188,220.04997538463115,223.83696523666543,1468400
2018-07-25,222.4908905029297,223.22676016442296,215.63480080882158,222.0152727727044,2443000
2018-07-26,221.72805786132812,225.40736416096158,221.3152506955799,223.92666989416827,999400
2018-07-27,223.88182067871094,224.23180374313844,221.4498909393452,222.47291941175968,1056400
2018-07-30,226.3317108154297,227.83932592325664,223.65746726113008,223.65746726113008,1520600
2018-07-31,227.0406494140625,227.64190166459045,225.40738599576613,226.10736581299585,1336500
2018-08-01,226.38555908203125,230.07384849513568,224.35744013940308,228.8354405526915,1328400
2018-08-02,230.2084197998047,230.70197541252446,225.5150542763739,225.59581642829434,938800
2018-08-03,231.4827423095703,232.0570601023023,228.3149295890515,230.21741376169004,767500
2018-08-06,231.644287109375,232.6134604518299,230.56740349661368,230.75587592993404,808700
2018-08-07,231.5006561279297,232.92750883840347,231.31221111726254,231.64424240767508,591400
2018-08-08,233.8070068359375,234.10313476342307,230.96225621468884,232.2275848592477,772300
2018-08-09,234.3364715576172,236.22995952559432,233.73520559960537,233.73520559960537,697100
2018-08-10,233.3583221435547,235.24285484892482,232.5596284109836,233.53778449541102,700500
2018-08-13,235.96072387695312,237.4055147245178,233.36724269444542,234.0851741537848,913600
2018-08-14,237.78245544433594,238.706770037375,236.02357112274737,236.16715742867325,931100
2018-08-15,237.06455993652344,237.86322627111247,235.377455013298,236.83122875760841,913700
2018-08-16,239.18238830566406,240.53746181994464,237.34274181721852,238.39267731419687,1073700
2018-08-17,236.8671417236328,239.8733895174862,236.7863521689935,239.53240282432887,940100
2018-08-20,236.16714477539062,236.87606617841476,235.48511670535615,236.86711086284694,870100
2018-08-21,235.65570068359375,236.71461916931202,235.02751384695677,235.82620775678677,727700
2018-08-22,235.96072387695312,236.4363414872658,234.04927073424662,235.84405830316766,661200
2018-08-23,237.16322326660156,238.3118861910663,235.43125987178004,235.82611531952895,761900
2018-08-24,238.150390625,238.70677044498305,236.8132825165706,237.2260760303826,883600
2018-08-27,238.91317749023438,239.4874953204462,237.54912129419264,239.04778109213657,815500
2018-08-28,239.34393310546875,240.24132705685278,238.9759982990465,239.83751621050396,691500
2018-08-29,239.72080993652344,240.61820373562767,238.518305532078,239.56824094071013,650300
2018-08-30,237.81834411621094,239.62208706501957,237.19015749003583,239.62208706501957,769400
2018-08-31,237.56710815429688,238.15939144244538,236.1761311122499,237.1991733516763,1149100
2018-09-04,236.64271545410156,238.8054100414859,235.75427712170526,237.06449156326082,1164200
2018-09-05,240.366943359375,240.75281613439566,238.00679319959656,239.95414986484798,2045000
2018-09-06,243.09506225585938,244.41420508234646,239.64009004274843,240.3041528075852,1502600
2018-09-07,244.67881774902344,245.79469424178885,242.39310130255487,242.85205161257616,1824000
2018-09-10,236.30093383789062,242.10520638841865,235.55404094465598,240.92635856200437,1984500
2018-09-11,237.72271728515625,237.82169148853285,234.69008068563443,235.71596313328618,1294200
2018-09-12,239.6754608154297,240.9982933783779,237.2907701304745,237.34476105448695,873700
2018-09-13,243.27500915527344,243.76095494756973,239.3245266366176,240.69234252115572,1204400
2018-09-14,243.67091369628906,245.00275368057484,242.762020855084,243.14899236298285,1030200
2018-09-17,242.63600158691406,246.56849471819427,242.33902415233723,244.92171722009923,970000
2018-09-18,243.8419189453125,245.3987303886543,242.06013617871835,242.33011824401308,1080700
2018-09-19,244.6337890625,245.36269385352918,243.3289445805107,244.55280269264298,1101000
2018-09-20,246.67654418945312,247.53144617523523,244.8497782019093,245.08375715850624,1267700
2018-09-21,245.23678588867188,248.36839730636336,245.23678588867188,246.76660221932985,2717000
2018-09-24,245.87567138671875,247.1894962405126,243.5089686443021,244.67880855404292,1047000
2018-09-25,243.19398498535156,246.8655046641527,242.6990590905676,246.325595492504,1172400
2018-09-26,242.4830780029297,244.3458471092252,241.95214898727272,242.96902373985876,786600
2018-09-27,244.4449462890625,245.86675350437562,242.65415520677342,242.96912067047893,916900
2018-09-28,246.613525390625,246.7665179563791,242.93299825816646,244.41780332954062,1053800
2018-10-01,248.54833984375,250.26709666213694,246.3615976142147,247.25250276784797,1015300
2018-10-02,248.47633361816406,250.0331451298386,247.51344972142337,248.6383063870585,922500
2018-10-03,248.58425903320312,249.44816852916665,247.7473724549085,249.19620179175595,707200
2018-10-04,247.4593963623047,249.16019239353346,245.86660961207483,248.73724529547502,693900
2018-10-05,248.29635620117188,250.15011766351722,246.84752663361905,248.06237724263462,655900
2018-10-08,249.61929321289062,250.15920263211223,247.11758474628783,248.32345568209763,833300
2018-10-09,251.22998046875,252.35483713407214,247.66644224245934,249.64620095835468,923800
2018-10-10,245.35377502441406,251.5449916316858,244.81383823427743,251.1130367071113,1997600
2018-10-11,241.63720703125,247.0995177585485,239.39650127232483,245.0837833396703,2016100
2018-10-12,244.23789978027344,245.5877278806647,240.9173204563251,242.51010772835048,1326700
2018-10-15,240.61131286621094,244.70577960418285,240.55732195036688,243.85988530620298,1305300
2018-10-16,250.54608154296875,251.13998168416248,242.96903510551647,243.80592185770078,1417800
2018-10-17,251.5900115966797,253.22781002932206,248.09847843111876,249.1963399949161,1067900
2018-10-18,253.03878784179688,254.26261885233816,250.0871647114233,251.6799520460518,903800
2018-10-19,251.20298767089844,254.72154265281347,250.62707533255372,252.94876743097538,1054100
2018-10-22,248.1254425048828,252.42689416059193,245.47977689840832,251.30203726880265,955100
2018-10-23,246.64952087402344,248.47628665525676,241.62817375110203,244.69678545045457,1654900
2018-10-24,238.85653686523438,248.79127777909812,238.55958681422914,246.14561292995876,1753600
2018-10-25,243.80593872070312,246.28963115039943,237.47076543634975,239.76546216391017,1893000
2018-10-26,239.14451599121094,242.969028476489,237.12878172808902,242.70805405274993,1653700
2018-10-29,237.13775634765625,242.5010923270954,233.71820330826105,241.09727350356945,2257600
2018-10-30,238.91055297851562,240.49435998375094,235.41001324456624,237.87569031763545,1904100
2018-10-31,247.98135375976562,251.24794120059448,239.3694464089105,242.96898695641292,2621600
2018-11-01,239.3064727783203,251.6528992404293,237.83965545849708,250.68103527481813,2286900
2018-11-02,241.1692352294922,247.72039843126333,239.55843302115986,240.70130480876463,1430800
2018-11-05,242.23110961914062,244.31885002987363,241.2412303328173,242.03313376187597,1066200
2018-11-06,244.77784729003906,246.0106859487045,241.9431861845538,241.9431861845538,984400
2018-11-07,260.9127502441406,261.72264153460554,246.7575443627348,247.1804915589794,2393500
2018-11-08,258.60003662109375,260.5437921822664,256.539291575885,260.0758617084419,1763400
2018-11-09,258.32110595703125,259.70693719053946,256.17937426769765,258.9150336285348,918300
2018-11-12,254.37062072753906,259.3829615859209,253.97466895046543,258.4560807128447,863300
2018-11-13,252.19288635253906,256.0983857395581,250.45611410081904,254.57757719846595,1109400
2018-11-14,252.05789184570312,255.48645282974505,248.152392724998,253.56068500021942,1537600
2018-11-15,255.69346618652344,256.36838027730073,249.14227371488033,251.12203269942353,1945200
2018-11-16,257.6641845703125,260.01289983652845,255.10851322989362,255.70244091258817,1378700
2018-11-19,253.57864379882812,259.04092578130974,251.37391419908963,258.1050649993177,1579500
2018-11-20,250.0421600341797,253.8756808709992,248.80034117120658,251.9679280951082,1051700
2018-11-21,251.02305603027344,253.39873932620355,249.5202352527273,250.3751374109608,924900
2018-11-23,252.63377380371094,254.01059712412976,248.72827515273414,250.0420999153183,564700
2018-11-26,253.1646728515625,257.65511834790925,252.93072139092402,255.32441914460765,1679100
2018-11-27,253.83969116210938,254.37962795756425,248.62937386113413,251.6619836189538,1591300
2018-11-28,262.1365966796875,263.62142950655374,254.68554693210066,254.68554693210066,1317800
2018-11-29,262.9195251464844,264.34133197205256,261.5606894265316,261.812656235961,1289000
2018-11-30,261.02972412109375,264.9352228564384,259.1219717626812,263.774363180869,1707200
2018-12-03,266.5910339355469,267.4729314616681,262.1635859467655,263.62142327663645,2139600
2018-12-04,264.26361083984375,271.165204849522,263.0456760070677,267.2227269167011,2707600
2018-12-06,259.29248046875,263.10866649943716,248.0694922325379,261.33139188639655,2292500
2018-12-07,253.0855255126953,260.1134313157072,251.53379338166357,257.9031057547078,1675500
2018-12-10,249.5941619873047,253.50054294449157,243.91047887477902,252.60740414721812,1696500
2018-12-11,249.21522521972656,255.22367573845327,247.8980658215255,252.3818481026824,1367700
2018-12-12,251.3082733154297,255.28684315802278,250.96544458270412,252.9051030351011,1221900
2018-12-13,253.01339721679688,255.097406146812,251.38047294751266,252.67056846951772,1444900
2018-12-14,248.6198272705078,254.0509045945209,245.1013721716441,252.2555687946711,1307400
2018-12-17,240.59950256347656,244.87577569747575,239.11993188216627,241.97078981550527,2178900
2018-12-18,233.98663330078125,242.6023672561048,230.95535744962646,241.1047628062995,2249300
2018-12-19,232.40782165527344,237.70357860729803,230.4771936574839,233.79717009519263,1807800
2018-12-20,227.44590759277344,232.49804752021174,225.596457735385,231.85751501260629,2777900
2018-12-21,227.31057739257812,233.7791294653583,224.5409111008158,226.209929771892,2980700
2018-12-24,224.6401824951172,227.05798989982833,222.44791744230875,225.63257434989424,1013600
2018-12-26,234.0227508544922,234.26635422756235,223.91845572318425,225.08226202777843,1624400
2018-12-27,235.35792541503906,235.35792541503906,226.18286551885072,231.8124067637202,1449600
2018-12-28,233.73403930664062,237.34271695710737,232.77774193182898,236.5848979543524,1004200
2018-12-31,236.9366912841797,237.17126407640976,232.94909147635755,234.28431174687194,978300
2019-01-02,230.07122802734375,233.5986996705623,226.33624752522115,233.12958152715424,2180300
2019-01-03,224.11685180664062,231.74920864163872,223.81913434423205,231.41541047136622,2156500
2019-01-04,225.4611358642578,228.82622354052714,224.78450888086255,225.55134453577045,1787300
2019-01-07,225.85809326171875,228.3570923499199,224.8657015099344,225.47015329838078,1485300
2019-01-08,225.05517578125,231.2711221535622,217.58520077659907,228.1225461149089,3164700
2019-01-09,226.76026916503906,230.05318175035518,226.2550427710787,226.3993931693531,1458000
2019-01-10,227.5902862548828,229.1871162365183,225.96637852558032,226.8865951998539,1705500
2019-01-11,231.53271484375,231.80335458876868,226.68805691777473,227.14815825031587,1432400
2019-01-14,230.16143798828125,232.39882786663173,229.52090546481082,230.94633467623984,1569600
