Date,Close,High,Low,Open,Volume
2018-06-01,68.1114273071289,68.42154692175016,67.13675600388983,67.1456184957649,3089200
2018-06-04,68.4215316772461,68.62532162426342,67.97850182360953,68.10254964181985,2800100
2018-06-05,68.25318145751953,68.58102599863916,67.9341994067273,68.54558279742898,2295800
2018-06-06,69.2367172241211,69.26329793842197,68.31521415445594,68.37723807452474,2753500
2018-06-07,67.97853088378906,69.289896025494,67.43803369048709,69.14812992697816,3468500
2018-06-08,68.3240737915039,68.3417920135975,67.28738541647863,67.85446316487365,2504700
2018-06-11,68.20003509521484,68.91774148792662,67.88105297398718,68.28863973775566,1917200
2018-06-12,69.33417510986328,69.37848080119369,68.1822947362667,68.20001971683861,3764800
2018-06-13,69.13038635253906,70.05188940548477,68.43040502164872,68.43040502164872,3484300
2018-06-14,69.60000610351562,69.97214962975836,69.21013759406111,69.24558080038427,3198400
2018-06-15,71.5050277709961,71.54933346789556,69.68860911982173,70.34429152131247,9462000
2018-06-18,70.89364624023438,71.1949033263216,69.67087939409272,70.7873166309743,4458700
2018-06-19,70.1759033203125,70.58349660216747,69.59997010571541,70.3176760722789,3156600
2018-06-20,69.8392333984375,70.26454507829938,69.52025132856603,70.22023938411175,3149700
2018-06-21,68.82913208007812,69.79493410907833,68.72280246033021,69.79493410907833,2714800
2018-06-22,69.7328872680664,69.99870785001714,68.44810356220032,69.26327676537187,5724100
2018-06-25,69.07723236083984,69.55570554138119,68.53673525467836,69.47596339134141,4442900
2018-06-26,69.51136016845703,69.82148637966242,68.92656445495226,69.23668390606062,2800400
2018-06-27,68.56328582763672,70.37971061665401,68.53670512264296,70.37971061665401,3712200
2018-06-28,70.01644134521484,70.3265676785272,68.53672312438604,68.92659159362465,3105200
2018-06-29,69.9898681640625,70.8936530290709,69.82152138340439,69.94556922603685,3668100
2018-07-02,70.43287658691406,70.45945729362883,69.3784702466707,69.61770336720203,2679900
2018-07-03,70.79615020751953,71.0708264691346,70.3088148142376,70.86703658474181,1637200
2018-07-05,70.78730773925781,71.05312834896793,70.19364937235068,70.74300205093982,3613100
2018-07-06,71.38098907470703,71.54048013983338,70.62783945164968,70.83163621935044,2050500
2018-07-09,71.75313568115234,71.85945854565854,71.10630896163643,71.55820141608999,2075000
2018-07-10,72.43537902832031,72.7454985651068,72.06323558417654,72.21386410774441,2276000
2018-07-11,72.29360961914062,72.55943024031717,71.8683047373772,71.96577184780199,3012000
